bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number
TCGA-AR-A0U4-01A	TCGA-AR-A0U4-01A-11D	1.95	58.48	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A0U4-01A	TCGA-AR-A0U4-01A-11R	1.87	45.91	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A0U4-10A	TCGA-AR-A0U4-10A-01D	1.89	22.54	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AH-01A	TCGA-AR-A1AH-01A-11D	1.95	60.65	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AH-01A	TCGA-AR-A1AH-01A-11R	1.91	73.44	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AH-10A	TCGA-AR-A1AH-10A-01D	1.94	20.29	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AI-01A	TCGA-AR-A1AI-01A-11D	1.96	54.87	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AI-01A	TCGA-AR-A1AI-01A-11R	1.98	71.69	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AI-10A	TCGA-AR-A1AI-10A-01D	1.91	18.88	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AJ-01A	TCGA-AR-A1AJ-01A-21D	1.89	36.19	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AJ-01A	TCGA-AR-A1AJ-01A-21R	1.83	26.77	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AJ-10A	TCGA-AR-A1AJ-10A-01D	1.94	14.95	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AK-01A	TCGA-AR-A1AK-01A-21D	1.85	32.98	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AK-01A	TCGA-AR-A1AK-01A-21R	1.83	17.33	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AK-10A	TCGA-AR-A1AK-10A-01D	1.97	20.85	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AL-01A	TCGA-AR-A1AL-01A-21D	1.81	22.62	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AL-01A	TCGA-AR-A1AL-01A-21R	1.79	15.63	RNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AL-10A	TCGA-AR-A1AL-10A-01D	1.96	13.07	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AN-01A	TCGA-AR-A1AN-01A-11D	1.93	34.51	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AN-01A	TCGA-AR-A1AN-01A-11R	1.83	28.73	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AN-10A	TCGA-AR-A1AN-10A-01D	1.93	18.43	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AO-01A	TCGA-AR-A1AO-01A-11D	2.02	22.53	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AO-01A	TCGA-AR-A1AO-01A-11R	1.80	22.05	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AO-10A	TCGA-AR-A1AO-10A-01D	1.95	23.86	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AP-01A	TCGA-AR-A1AP-01A-11D	1.85	13.74	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AP-01A	TCGA-AR-A1AP-01A-11R	1.80	16.31	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AP-10A	TCGA-AR-A1AP-10A-01D	1.94	18.88	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AQ-01A	TCGA-AR-A1AQ-01A-11D	1.93	84.16	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AQ-01A	TCGA-AR-A1AQ-01A-11R	2.14	67.65	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AQ-10A	TCGA-AR-A1AQ-10A-01D	1.93	20.07	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AS-01A	TCGA-AR-A1AS-01A-11D	1.98	56.60	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AS-01A	TCGA-AR-A1AS-01A-11R	2.12	53.34	RNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AS-10A	TCGA-AR-A1AS-10A-01D	1.93	20.06	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AT-01A	TCGA-AR-A1AT-01A-11D	1.92	38.80	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AT-01A	TCGA-AR-A1AT-01A-11R	2.10	33.26	RNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AT-10A	TCGA-AR-A1AT-10A-01D	1.93	25.70	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AU-01A	TCGA-AR-A1AU-01A-11D	1.92	17.84	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AU-01A	TCGA-AR-A1AU-01A-11R	1.82	14.69	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AU-10A	TCGA-AR-A1AU-10A-01D	2.03	17.92	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AV-01A	TCGA-AR-A1AV-01A-21D	1.92	60.66	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AV-01A	TCGA-AR-A1AV-01A-21R	1.90	69.95	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AV-10A	TCGA-AR-A1AV-10A-01D	1.95	21.02	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AW-01A	TCGA-AR-A1AW-01A-21D	1.92	67.20	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AW-01A	TCGA-AR-A1AW-01A-21R	1.87	43.54	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AW-10A	TCGA-AR-A1AW-10A-01D	1.96	19.71	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AX-01A	TCGA-AR-A1AX-01A-11D	1.94	50.02	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AX-01A	TCGA-AR-A1AX-01A-11R	1.81	40.66	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AX-10A	TCGA-AR-A1AX-10A-01D	1.95	22.38	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AY-01A	TCGA-AR-A1AY-01A-21D	1.91	48.87	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AY-01A	TCGA-AR-A1AY-01A-21R	1.85	47.68	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-AR-A1AY-10A	TCGA-AR-A1AY-10A-01D	1.95	22.65	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I2-01A	TCGA-B6-A0I2-01A-11D	1.85	81.48	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I2-01A	TCGA-B6-A0I2-01A-11R	1.75	89.47	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I2-10A	TCGA-B6-A0I2-10A-01D	2.06	9.00	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I2-10B	TCGA-B6-A0I2-10B-01D	null	null	DNA	null	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I5-01A	TCGA-B6-A0I5-01A-11D	2.03	31.64	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I5-01A	TCGA-B6-A0I5-01A-11R	1.92	35.54	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I5-10A	TCGA-B6-A0I5-10A-01D	2.03	17.10	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I6-01A	TCGA-B6-A0I6-01A-11D	2.03	64.80	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I6-01A	TCGA-B6-A0I6-01A-11R	1.88	57.56	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I6-10A	TCGA-B6-A0I6-10A-01D	1.86	29.77	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I8-01A	TCGA-B6-A0I8-01A-11D	1.89	35.98	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I8-01A	TCGA-B6-A0I8-01A-11R	1.91	28.29	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I8-10A	TCGA-B6-A0I8-10A-01D	0.85	10.30	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I9-01A	TCGA-B6-A0I9-01A-11D	1.95	58.75	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I9-01A	TCGA-B6-A0I9-01A-11R	1.86	64.15	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0I9-10A	TCGA-B6-A0I9-10A-01D	0.48	28.11	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IA-01A	TCGA-B6-A0IA-01A-11D	1.85	28.02	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IA-01A	TCGA-B6-A0IA-01A-11R	1.81	16.46	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IA-10A	TCGA-B6-A0IA-10A-01D	1.88	31.92	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IB-01A	TCGA-B6-A0IB-01A-11D	1.85	35.33	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IB-01A	TCGA-B6-A0IB-01A-11R	1.83	21.01	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IB-10A	TCGA-B6-A0IB-10A-01D	1.77	20.16	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IC-01A	TCGA-B6-A0IC-01A-11D	1.91	104.84	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IC-01A	TCGA-B6-A0IC-01A-11R	1.71	68.01	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IC-10A	TCGA-B6-A0IC-10A-01D	1.83	30.24	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IE-01A	TCGA-B6-A0IE-01A-11D	1.98	14.28	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IE-01A	TCGA-B6-A0IE-01A-11R	1.86	18.27	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IE-10A	TCGA-B6-A0IE-10A-01D	2.17	19.56	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IG-01A	TCGA-B6-A0IG-01A-11D	1.97	22.56	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IG-01A	TCGA-B6-A0IG-01A-11R	1.76	28.56	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IG-10A	TCGA-B6-A0IG-10A-01D	2.03	30.94	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IH-01A	TCGA-B6-A0IH-01A-11D	1.98	16.43	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IH-01A	TCGA-B6-A0IH-01A-11R	1.78	8.88	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IH-10A	TCGA-B6-A0IH-10A-01D	1.85	26.75	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IJ-01A	TCGA-B6-A0IJ-01A-11D	1.95	116.59	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IJ-01A	TCGA-B6-A0IJ-01A-11R	1.64	80.33	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IJ-10A	TCGA-B6-A0IJ-10A-01D	1.95	20.48	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IK-01A	TCGA-B6-A0IK-01A-12D	1.97	18.17	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IK-01A	TCGA-B6-A0IK-01A-12R	1.74	14.43	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IK-10A	TCGA-B6-A0IK-10A-01D	1.98	26.54	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IM-01A	TCGA-B6-A0IM-01A-11D	1.85	64.07	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IM-01A	TCGA-B6-A0IM-01A-11R	1.72	54.67	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IM-10A	TCGA-B6-A0IM-10A-01D	1.93	16.12	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IN-01A	TCGA-B6-A0IN-01A-11D	1.86	13.95	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IN-01A	TCGA-B6-A0IN-01A-11R	1.52	15.52	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IN-10A	TCGA-B6-A0IN-10A-01D	1.92	18.03	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IO-01A	TCGA-B6-A0IO-01A-11D	1.94	42.43	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IO-01A	TCGA-B6-A0IO-01A-11R	1.59	32.67	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IO-10A	TCGA-B6-A0IO-10A-01D	2.00	14.14	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IP-01A	TCGA-B6-A0IP-01A-11D	2.00	24.44	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IP-01A	TCGA-B6-A0IP-01A-11R	1.02	17.13	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IP-10A	TCGA-B6-A0IP-10A-01D	1.84	19.86	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IQ-01A	TCGA-B6-A0IQ-01A-11D	1.92	76.73	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IQ-01A	TCGA-B6-A0IQ-01A-11R	1.69	68.62	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0IQ-10A	TCGA-B6-A0IQ-10A-01D	1.95	27.82	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RE-01A	TCGA-B6-A0RE-01A-11D	2.14	49.61	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RE-01A	TCGA-B6-A0RE-01A-11R	1.80	49.46	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RE-10A	TCGA-B6-A0RE-10A-01D	1.86	18.08	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RG-01A	TCGA-B6-A0RG-01A-11D	2.11	40.26	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RG-01A	TCGA-B6-A0RG-01A-11R	1.77	25.92	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RG-10A	TCGA-B6-A0RG-10A-01D	2.00	7.45	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RH-01A	TCGA-B6-A0RH-01A-21D	1.98	37.57	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RH-01A	TCGA-B6-A0RH-01A-21R	1.83	35.08	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RH-10A	TCGA-B6-A0RH-10A-01D	0.65	24.52	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RI-01A	TCGA-B6-A0RI-01A-11D	1.92	78.50	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RI-01A	TCGA-B6-A0RI-01A-11R	1.84	65.49	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RI-10A	TCGA-B6-A0RI-10A-01D	1.78	46.43	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RL-01A	TCGA-B6-A0RL-01A-11D	1.85	69.46	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RL-01A	TCGA-B6-A0RL-01A-11R	1.81	53.45	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RL-10A	TCGA-B6-A0RL-10A-01D	1.95	16.85	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RM-01A	TCGA-B6-A0RM-01A-11D	2.03	89.98	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RM-01A	TCGA-B6-A0RM-01A-11R	1.83	52.43	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RM-10A	TCGA-B6-A0RM-10A-01D	1.81	18.36	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RN-01A	TCGA-B6-A0RN-01A-12D	2.06	23.21	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RN-01A	TCGA-B6-A0RN-01A-12R	1.78	13.92	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RN-10A	TCGA-B6-A0RN-10A-01D	1.90	13.25	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RO-01A	TCGA-B6-A0RO-01A-22D	2.00	15.93	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RO-01A	TCGA-B6-A0RO-01A-22R	1.92	14.31	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RO-10A	TCGA-B6-A0RO-10A-01D	1.71	30.49	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RP-01A	TCGA-B6-A0RP-01A-21D	1.90	48.52	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RP-01A	TCGA-B6-A0RP-01A-21R	1.94	17.80	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RP-10A	TCGA-B6-A0RP-10A-01D	1.86	17.33	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RQ-01A	TCGA-B6-A0RQ-01A-11D	2.00	31.84	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RQ-01A	TCGA-B6-A0RQ-01A-11R	1.82	13.10	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RQ-10A	TCGA-B6-A0RQ-10A-01D	1.92	24.18	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RS-01A	TCGA-B6-A0RS-01A-11D	2.02	56.10	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RS-01A	TCGA-B6-A0RS-01A-11R	1.94	18.80	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RS-10A	TCGA-B6-A0RS-10A-01D	1.64	9.49	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RT-01A	TCGA-B6-A0RT-01A-21D	1.90	55.40	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RT-01A	TCGA-B6-A0RT-01A-21R	1.88	41.22	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RT-10A	TCGA-B6-A0RT-10A-01D	1.92	56.70	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RU-01A	TCGA-B6-A0RU-01A-11D	1.80	37.22	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RU-01A	TCGA-B6-A0RU-01A-11R	1.86	23.03	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RU-10A	TCGA-B6-A0RU-10A-01D	1.92	6.82	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RU-10B	TCGA-B6-A0RU-10B-01D	1.96	10.66	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RV-01A	TCGA-B6-A0RV-01A-11D	2.00	26.54	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RV-01A	TCGA-B6-A0RV-01A-11R	1.96	15.05	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0RV-10A	TCGA-B6-A0RV-10A-01D	1.84	16.60	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WS-01A	TCGA-B6-A0WS-01A-11D	1.90	39.98	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WS-01A	TCGA-B6-A0WS-01A-11R	1.78	32.14	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WS-10A	TCGA-B6-A0WS-10A-01D	1.95	11.64	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WT-01A	TCGA-B6-A0WT-01A-11D	1.92	57.92	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WT-01A	TCGA-B6-A0WT-01A-11R	1.79	52.12	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WT-10A	TCGA-B6-A0WT-10A-01D	2.00	50.17	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WV-01A	TCGA-B6-A0WV-01A-11D	1.97	27.77	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WV-01A	TCGA-B6-A0WV-01A-11R	1.74	20.92	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WV-10A	TCGA-B6-A0WV-10A-01D	2.22	24.60	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WW-01A	TCGA-B6-A0WW-01A-11D	1.82	23.71	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WW-01A	TCGA-B6-A0WW-01A-11R	1.83	20.96	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WW-10A	TCGA-B6-A0WW-10A-01D	2.04	59.13	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WX-01A	TCGA-B6-A0WX-01A-11D	1.90	34.51	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WX-01A	TCGA-B6-A0WX-01A-11R	1.71	26.34	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WX-10A	TCGA-B6-A0WX-10A-01D	1.94	58.08	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WY-01A	TCGA-B6-A0WY-01A-11D	1.91	20.91	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WY-01A	TCGA-B6-A0WY-01A-11R	1.74	15.87	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-B6-A0WY-10A	TCGA-B6-A0WY-10A-01D	2.12	28.51	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
